id	resistance	AMI	PAS	EMB	FLQ	INH	SM	RIF	ETH	PZA
Rv3023c	no	no	no	no	no	no	no	no	no	no
Rv3115	no	no	no	no	no	no	no	no	no	no
Rv3640c	no	no	no	no	no	no	no	no	no	no
Rv2086	no	no	no	no	no	no	no	no	no	no
Rv0020c	no	no	no	no	no	no	no	no	no	no
Rv0022c	no	no	no	no	no	no	no	no	no	no
Rv2837c	no	no	no	no	no	no	no	no	no	no
Rv2830c	no	no	no	no	no	no	no	no	no	no
Rv2829c	no	no	no	no	no	no	no	no	no	no
Rv2823c	no	no	no	no	no	no	no	no	no	no
Rv2818c	no	no	no	no	no	no	no	no	no	no
Rv0456A	no	no	no	no	no	no	no	no	no	no
Rv1991c	no	no	no	no	no	no	no	no	no	no
Rv2801c	no	no	no	no	no	no	no	no	no	no
Rv0050	no	no	no	no	no	no	no	no	no	no
Rv3682	no	no	no	no	no	no	no	no	no	no
Rv2402	no	no	no	no	no	no	no	no	no	no
Rv0785	no	no	no	no	no	no	no	no	no	no
Rv1817	no	no	no	no	no	no	no	no	no	no
Rv3526	no	no	no	no	no	no	no	no	no	no
Rv0336	no	no	no	no	no	no	no	no	no	no
Rv0393	no	no	no	no	no	no	no	no	no	no
Rv0397	no	no	no	no	no	no	no	no	no	no
Rv0515	no	no	no	no	no	no	no	no	no	no
Rv2100	no	no	no	no	no	no	no	no	no	no
Rv3776	no	no	no	no	no	no	no	no	no	no
Rv2549c	no	no	no	no	no	no	no	no	no	no
Rv2547	no	no	no	no	no	no	no	no	no	no
Rv2527	no	no	no	no	no	no	no	no	no	no
Rv0692	no	no	no	no	no	no	no	no	no	no
Rv0101	no	no	no	no	no	no	no	no	no	no
Rv0855	no	no	no	no	no	no	no	no	no	no
Rv1143	no	no	no	no	no	no	no	no	no	no
Rv1866	no	no	no	no	no	no	no	no	no	no
Rv3272	no	no	no	no	no	no	no	no	no	no
Rv1957	no	no	no	no	no	no	no	no	no	no
Rv1952	no	no	no	no	no	no	no	no	no	no
Rv0659c	no	no	no	no	no	no	no	no	no	no
Rv1942c	no	no	no	no	no	no	no	no	no	no
Rv0405	no	no	no	no	no	no	no	no	no	no
Rv1180	no	no	no	no	no	no	no	no	no	no
Rv1181	no	no	no	no	no	no	no	no	no	no
Rv1527c	no	no	no	no	no	no	no	no	no	no
Rv1661	no	no	no	no	no	no	no	no	no	no
Rv1662	no	no	no	no	no	no	no	no	no	no
Rv1663	no	no	no	no	no	no	no	no	no	no
Rv1664	no	no	no	no	no	no	no	no	no	no
Rv2048c	no	no	no	no	no	no	no	no	no	no
Rv2931	no	no	no	no	no	no	no	no	no	no
Rv2932	no	no	no	no	no	no	no	no	no	no
Rv2933	no	no	no	no	no	no	no	no	no	no
Rv2934	no	no	no	no	no	no	no	no	no	no
Rv2935	no	no	no	no	no	no	no	no	no	no
Rv2940c	no	no	no	no	no	no	no	no	no	no
Rv2946c	no	no	no	no	no	no	no	no	no	no
Rv2947c	no	no	no	no	no	no	no	no	no	no
Rv3777	no	no	no	no	no	no	no	no	no	no
Rv3825c	no	no	no	no	no	no	no	no	no	no
Rv3866	no	no	no	no	no	no	no	no	no	no
Rv3859c	no	no	no	no	no	no	no	no	no	no
Rv1021	no	no	no	no	no	no	no	no	no	no
Rv0148	no	no	no	no	no	no	no	no	no	no
Rv0687	no	no	no	no	no	no	no	no	no	no
Rv0765c	no	no	no	no	no	no	no	no	no	no
Rv0769	no	no	no	no	no	no	no	no	no	no
Rv0851c	no	no	no	no	no	no	no	no	no	no
Rv1050	no	no	no	no	no	no	no	no	no	no
Rv1245c	no	no	no	no	no	no	no	no	no	no
Rv1350	no	no	no	no	no	no	no	no	no	no
Rv1714	no	no	no	no	no	no	no	no	no	no
Rv1928c	no	no	no	no	no	no	no	no	no	no
Rv1941	no	no	no	no	no	no	no	no	no	no
Rv2002	no	no	no	no	no	no	no	no	no	no
Rv2129c	no	no	no	no	no	no	no	no	no	no
Rv2750	no	no	no	no	no	no	no	no	no	no
Rv2857c	no	no	no	no	no	no	no	no	no	no
Rv3057c	no	no	no	no	no	no	no	no	no	no
Rv3085	no	no	no	no	no	no	no	no	no	no
Rv3391	no	no	no	no	no	no	no	no	no	no
Rv3502c	no	no	no	no	no	no	no	no	no	no
Rv3530c	no	no	no	no	no	no	no	no	no	no
Rv3548c	no	no	no	no	no	no	no	no	no	no
Rv3559c	no	no	no	no	no	no	no	no	no	no
Rv3513c	no	no	no	no	no	no	no	no	no	no
Rv3574	no	no	no	no	no	no	no	no	no	no
Rv3358	no	no	no	no	no	no	no	no	no	no
Rv3433c	no	no	no	no	no	no	no	no	no	no
Rv3385c	no	no	no	no	no	no	no	no	no	no
Rv3181c	no	no	no	no	no	no	no	no	no	no
Rv1962A	no	no	no	no	no	no	no	no	no	no
Rv0626	no	no	no	no	no	no	no	no	no	no
Rv0596c	no	no	no	no	no	no	no	no	no	no
Rv3407	no	no	no	no	no	no	no	no	no	no
Rv3357	no	no	no	no	no	no	no	no	no	no
Rv1375	no	no	no	no	no	no	no	no	no	no
Rv1107c	no	no	no	no	no	no	no	no	no	no
Rv1108c	no	no	no	no	no	no	no	no	no	no
Rv1701	no	no	no	no	no	no	no	no	no	no
Rv2646	no	no	no	no	no	no	no	no	no	no
Rv2894c	no	no	no	no	no	no	no	no	no	no
Rv3862c	no	no	no	no	no	no	no	no	no	no
Rv1423	no	no	no	no	no	no	no	no	no	no
Rv3180c	no	no	no	no	no	no	no	no	no	no
Rv0609	no	no	no	no	no	no	no	no	no	no
Rv0624	no	no	no	no	no	no	no	no	no	no
Rv1982c	no	no	no	no	no	no	no	no	no	no
Rv2759c	no	no	no	no	no	no	no	no	no	no
Rv2602	no	no	no	no	no	no	no	no	no	no
Rv0598c	no	no	no	no	no	no	no	no	no	no
Rv2596	no	no	no	no	no	no	no	no	no	no
Rv1741	no	no	no	no	no	no	no	no	no	no
Rv1114	no	no	no	no	no	no	no	no	no	no
Rv0240	no	no	no	no	no	no	no	no	no	no
Rv1838c	no	no	no	no	no	no	no	no	no	no
Rv2863	no	no	no	no	no	no	no	no	no	no
Rv1397c	no	no	no	no	no	no	no	no	no	no
Rv2548	no	no	no	no	no	no	no	no	no	no
Rv1561	no	no	no	no	no	no	no	no	no	no
Rv2010	no	no	no	no	no	no	no	no	no	no
Rv1953	no	no	no	no	no	no	no	no	no	no
Rv0065	no	no	no	no	no	no	no	no	no	no
Rv0549c	no	no	no	no	no	no	no	no	no	no
Rv0960	no	no	no	no	no	no	no	no	no	no
Rv1720c	no	no	no	no	no	no	no	no	no	no
Rv0661c	no	no	no	no	no	no	no	no	no	no
Rv0656c	no	no	no	no	no	no	no	no	no	no
Rv2595	no	no	no	no	no	no	no	no	no	no
Rv1420	no	no	no	no	no	no	no	no	no	no
Rv2191	no	no	no	no	no	no	no	no	no	no
Rv1020	no	no	no	no	no	no	no	no	no	no
Rv1633	no	no	no	no	no	no	no	no	no	no
Rv1636	no	no	no	no	no	no	no	no	no	no
Rv1996	no	no	no	no	no	no	no	no	no	no
Rv2005c	no	no	no	no	no	no	no	no	no	no
Rv2026c	no	no	no	no	no	no	no	no	no	no
Rv2623	no	no	no	no	no	no	no	no	no	no
Rv2624c	no	no	no	no	no	no	no	no	no	no
Rv3134c	no	no	no	no	no	no	no	no	no	no
Rv2028c	no	no	no	no	no	no	no	no	no	no
Rv1852	no	no	no	no	no	no	no	no	no	no
Rv1851	no	no	no	no	no	no	no	no	no	no
Rv1848	no	no	no	no	no	no	no	no	no	no
Rv1849	no	no	no	no	no	no	no	no	no	no
Rv1850	no	no	no	no	no	no	no	no	no	no
Rv0012	no	no	no	no	no	no	no	no	no	no
Rv1823	no	no	no	no	no	no	no	no	no	no
Rv1825	no	no	no	no	no	no	no	no	no	no
Rv2600	no	no	no	no	no	no	no	no	no	no
Rv2717c	no	no	no	no	no	no	no	no	no	no
Rv0813c	no	no	no	no	no	no	no	no	no	no
Rv0145	no	no	no	no	no	no	no	no	no	no
Rv0146	no	no	no	no	no	no	no	no	no	no
Rv0281	no	no	no	no	no	no	no	no	no	no
Rv0725c	no	no	no	no	no	no	no	no	no	no
Rv0726c	no	no	no	no	no	no	no	no	no	no
Rv0731c	no	no	no	no	no	no	no	no	no	no
Rv0830	no	no	no	no	no	no	no	no	no	no
Rv0893c	no	no	no	no	no	no	no	no	no	no
Rv1729c	no	no	no	no	no	no	no	no	no	no
Rv1896c	no	no	no	no	no	no	no	no	no	no
Rv2751	no	no	no	no	no	no	no	no	no	no
Rv3399	no	no	no	no	no	no	no	no	no	no
Rv3767c	no	no	no	no	no	no	no	no	no	no
Rv3787c	no	no	no	no	no	no	no	no	no	no
Rv2345	no	no	no	no	no	no	no	no	no	no
Rv1481	no	no	no	no	no	no	no	no	no	no
Rv0504c	no	no	no	no	no	no	no	no	no	no
Rv0635	no	no	no	no	no	no	no	no	no	no
Rv0637	no	no	no	no	no	no	no	no	no	no
Rv0038	no	no	no	no	no	no	no	no	no	no
Rv2416c	no	no	no	no	no	no	no	no	no	no
Rv0566c	no	no	no	no	no	no	no	no	no	no
Rv0004	no	no	no	no	no	no	no	no	no	no
Rv0064	no	no	no	no	no	no	no	no	no	no
Rv3193c	no	no	no	no	no	no	no	no	no	no
Rv2295	no	no	no	no	no	no	no	no	no	no
Rv3922c	no	no	no	no	no	no	no	no	no	no
